"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2013-11-20 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-05-28 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2012-12-15 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-03-02 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2012-11-12 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2014-01-02 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2012-10-23 00:00:00","ECCLESTON BRIDGE","51.4941029","-0.1466265","528760","178867","Yes","NO","NO","NO"
"2013-02-14 00:00:00","ECCLESTON BRIDGE","51.4941029","-0.1466265","528760","178867","Yes","NO","NO","NO"
"2013-10-15 00:00:00","LAZENBY COURT","51.5116379","-0.1256372","530167","180854","NO","Yes","NO","NO"
"2013-10-15 00:00:00","LAZENBY COURT","51.5116379","-0.1256372","530167","180854","NO","Yes","NO","NO"
"2013-10-15 00:00:00","LAZENBY COURT","51.5116379","-0.1256372","530167","180854","NO","Yes","NO","NO"
"2013-11-01 00:00:00","LAZENBY COURT","51.5116379","-0.1256372","530167","180854","NO","Yes","NO","NO"
"2013-07-29 00:00:00","VIRGIL PLACE","51.5200628","-0.1631785","527539","181724","NO","NO","NO","Yes"
"2013-08-09 00:00:00","BOTTS PASSAGE","51.5155609","-0.1945718","525373","181170","NO","Yes","NO","NO"
"2012-10-10 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","Yes","NO","NO","Yes"
"2013-03-27 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","NO","NO","Yes"
"2013-07-04 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","Yes"
"2013-09-27 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-09-27 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2012-07-14 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2012-11-01 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","NO","NO","Yes"
"2013-01-29 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-11-01 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-11-01 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","NO","NO","Yes"
"2013-11-02 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-05-31 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","NO","NO","Yes"
"2014-01-02 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2014-01-05 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-04-17 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2014-01-26 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-10-23 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-09-24 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-03-18 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2012-08-31 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-03-04 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2012-07-03 00:00:00","BOTTS MEWS","51.5154444","-0.1951818","525331","181156","NO","Yes","NO","NO"
"2013-06-26 00:00:00","BOLSOVER STREET","51.5209110","-0.1423966","528978","181855","NO","NO","NO","Yes"
"2013-06-11 00:00:00","BOLSOVER STREET","51.5209110","-0.1423966","528978","181855","NO","NO","NO","Yes"
"2013-03-21 00:00:00","BOLSOVER STREET","51.5209110","-0.1423966","528978","181855","NO","NO","NO","Yes"
"2013-04-14 00:00:00","BOLSOVER STREET","51.5209110","-0.1423966","528978","181855","NO","NO","NO","Yes"
"2013-05-06 00:00:00","CARLTON STREET","51.5085930","-0.1337602","529612","180501","Yes","NO","NO","NO"
"2013-01-01 00:00:00","CARLTON STREET","51.5085930","-0.1337602","529612","180501","Yes","NO","NO","NO"
"2013-05-18 00:00:00","CARLTON STREET","51.5085930","-0.1337602","529612","180501","Yes","NO","NO","NO"
